text,Irrelevant to Covid-19 vaccination intention and confidence,Intent to accept Covid-19 vaccination,Intent to reject Covid-19 vaccination,Belief that Covid-19 vaccine is effective,Belief that Covid-19 vaccine is not safe,Confidence in Covid-19 vaccine R&D and introduction,Distrust in government,Misinformation or rumors on vaccines
#Pfizer stock jumps after it reports positive data in early-stage coronavirus vaccine trial  #Coronavirus #Vaccine,1,0,0,0,0,0,0,0
QT: It's coming and we know it - stay safe until then! #WearAMask #COVID19 >>  ; BREAKING: The U.S. enters a pact with Pfizer for 100 million doses of a Covid-19 vaccine which Americans will receive for free,0,1,0,0,0,0,0,0
Colorado bill requires 're-education' for parents who refuse COVID-19 vaccine #Education #ui via,1,0,0,0,0,0,0,0
The speed with which #pharma & #biotech firms are working to develop a #COVID_19 vaccine is remarkable  from publication of the first SARS-CoV-2 sequences through phase 1 achieved in 6 months The Covid-19 Vaccine-Development Multiverse | NEJM,0,1,0,0,0,1,0,0
"PIIE: Vaccine nationalism, or a my country first approach to #COVID19 vaccine allocation, will have profound & far-reaching consequences. Register for tomorrow's event with ChadBown & TomBollyky for more on a COVID-19 vaccine trade & investment agreement:",1,0,0,0,0,0,0,0
QT: RT: phase II/III trial of the chAdOx vaccine in Liverpool. We are recruiting healthcare workers who are most at risk of exposu ; #LSTM's Professor Daniela Ferreira on explaining #LSTM's role in Phase III of the #COVID-19 vaccine human trials,1,0,0,0,0,0,0,0
Oxford University's coronavirus vaccine with AstraZeneca shows positive immune response in early trial,1,0,0,0,0,0,0,0
"QT: Promising news out of UK on treatment and vaccine research. Hope world gets a vaccine soon to get out of this Pandemic ; Oxfords Covid-19 vaccine produces a good immune response, reveals new study. Teams at and have found there were no safety concerns, and the vaccine stimulated strong immune responses:",0,1,0,1,0,1,0,0
I really believe they got a vaccine for Covid already theyre just working out the prices to make max profits,0,1,0,0,0,1,0,0
"R&D is just the first step to provide an effective COVID-19 vaccine. Next is manufacturing & procurement, delivery and access. Read more from here",1,0,0,0,0,0,0,0
QT: RT: NOPE! FUCK THAT! Where are my BLACK UK riders? REJECT this shit! The entire global black family MUST be on code agains ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine,0,0,1,0,0,0,0,0
"Covid-19 vaccine may not work for at-risk older people, say scientists",1,0,0,0,0,0,0,0
Researchers Debate Infecting People on Purpose to Test Coronavirus Vaccines  via,1,0,0,0,0,0,0,0
Covid-19 vaccine will be reality by year-end: Anthony Fauci,1,0,0,0,0,0,0,0
" In your opinion, will the COVID vaccine be safe? How can we be sure, considering the speed of the clinical trials and the lack of animal trials?",0,0,0,0,1,0,0,0
Pfizer gets $1.95 billion to produce coronavirus vaccine by years end | Deccan Herald -,1,0,0,0,0,0,0,0
QT: Pure Cunt!!! #Covid19UK ; NEWS: Britain has now secured an extra 60 million doses of a potential #coronavirus vaccine from GSK & Sanofi Pasteur. This is a great step in our fight against this unprecedented #coronavirus.,0,0,0,0,0,0,1,0
QT: LMAOO ; When you the first person to get the coronavirus vaccine ¨¢?,1,0,0,0,0,0,0,0
Trump administration officials sought to lift the nation's spirits with glimmers of good news about COVID-19 vaccine development and distribution as daily infection counts remained near record highs and new deaths again rose to the highest level since May.,1,0,0,0,0,0,0,0
QT: Not OK ; Coronavirus: UK opts out of EU Covid-19 vaccine scheme,0,0,0,0,0,0,0,0
QT: Creativity at its best  ; What will happen if India manages to find a full proof vaccine for COVID today? A thread :,0,1,0,0,0,1,0,0
"QT: The the West finds a vaccine, elects Biden, and storms into 2021 with unprecedented unity storyline is underpriced ; The Lancet Medical Journal plans to publish phase 1 of clinical trial data on Oxford University Covid-19 vaccine on Monday 20 July",0,1,0,0,0,1,0,0
 Horseshoe crab blood is key to making a COVID-19 vaccinebut the ecosystem may suffer via   #Vaccine #Nature #Coronavirus,1,0,0,0,0,0,0,0
"So what you thinking about this much heralded covid vaccine?Will you fall for it,will you be a pussy and take it?",0,0,1,0,0,0,0,0
QT: Hopefully something should come out towards the Vaccination of COVID-19 at earliest!! ; Russian scientists successfully complete worlds first COVID-19 vaccine trial,0,1,0,0,0,1,0,0
Russian hackers have been accused of targeting Covid-19 vaccine researchers,1,0,0,0,0,0,0,0
